,Enforce current laws more strictly,Pass new laws in addition,No opinion
,%,%,%
2022 Jun 1-20,42,55,3
2017 Oct 5-11,47,51,2
2012 Dec 19-22,46,47,7
2011 Oct 6-9,60,35,5
2007 Oct 4-7,58,38,4
2006 Oct 9-12,53,43,4
2002 Feb 8-10,60,38,2
2000 Aug 29-Sep 5,53,45,2
2000 Apr 28-30 ^,51,44,5
